Bigram,Frequência
"('fen', 'fen')",11
"('of', 'the')",7
"('in', 'the')",6
"('chakra', 'records')",6
"('listen', 'to')",5
"('earn', 'coop')",4
"('coop', 'when')",4
"('when', 'you')",4
"('you', 'collect')",4
"('collect', 'this')",4
"('this', 'song')",4
"('song', 'on')",4
"('on', 'coop')",4
"('coop', 'records')",4
"('pre', 'save')",4
"('free', 'download')",4
"('audius', 'playlists')",4
"('the', 'best')",4
"('of', 'me')",4
"('akira', 'the')",4
"('the', 'don')",4
"('to', 'the')",3
"('follow', 'me')",3
"('by', 'aedhus')",3
"('had', 'to')",3
"('this', 'one')",3
"('this', 'is')",3
"('the', 'original')",3
"('is', 'an')",3
"('create', 'a')",3
"('join', 'our')",3
"('couch', 'mammel')",3
"('mammel', 'the')",3
"('the', 'remixes')",3
"('remixes', 'out')",3
"('out', 'pre')",3
"('save', 'the')",3
"('the', 'ep')",3
"('soft', 'jaw')",3
"('follow', 'bronze')",3
"('bronze', 'whale')",3
"('follow', 'sofasound')",3
"('for', 'more')",3
"('afro', 'house')",3
"('so', 'much')",3
"('by', 'the')",3
"('wwwlinktreeaspirehigher', 'wwwaspirehigherlive')",3
"('wwwaspirehigherlive', 'wwwaspirehigherbandcampcom')",3
"('wwwaspirehigherbandcampcom', 'wwwfacebookcomaspirehigherpa')",3
"('wwwfacebookcomaspirehigherpa', 'wwwxcomaspirehigher')",3
"('wwwxcomaspirehigher', 'wwwinstagramcomaspirehigherpa')",3
"('wwwinstagramcomaspirehigherpa', 'openspotifycomuserldxerskmcpwelaldqgkul')",3
"('openspotifycomuserldxerskmcpwelaldqgkul', 'wwwaudiuscoaspirehigher')",3
"('wwwaudiuscoaspirehigher', 'wwwaspirehigherpamyshopifycom')",3
"('wwwaspirehigherpamyshopifycom', 'wwwaspirehigherprodetsycom')",3
"('wwwaspirehigherprodetsycom', 'wwwyoutubecomaspirehigherpa')",3
"('cover', 'of')",3
"('wish', 'i')",3
"('i', 'could')",3
"('you', 'think')",3
"('gimme', 'that')",3
"('next', 'month')",2
"('mastered', 'by')",2
"('is', 'a')",2
"('original', 'so')",2
"('to', 'remix')",2
"('check', 'out')",2
"('to', 'all')",2
"('all', 'bitbird')",2
"('bitbird', 'releases')",2
"('releases', 'bitbirdffmtoreleasesszb')",2
"('with', 'the')",2
"('the', 'year')",2
"('pitch', 'black')",2
"('black', 'vision')",2
"('vision', 'of')",2
"('it', 'all')",2
"('on', 'a')",2
"('on', 'the')",2
"('in', 'my')",2
"('is', 'out')",2
"('out', 'now')",2
"('style', 'of')",2
"('on', 'social')",2
"('of', 'streams')",2
"('streams', 'across')",2
"('across', 'dsps')",2
"('on', 'february')",2
"('you', 'guys')",2
"('to', 'do')",2
"('delivers', 'the')",2
"('wanted', 'to')",2
"('to', 'create')",2
"('hip', 'hop')",2
"('remix', 'of')",2
"('subscribe', 'for')",2
"('more', 'httpsckranetaudius')",2
"('httpsckranetaudius', 'audius')",2
"('playlists', 'httpsckranetaudiusplaylists')",2
"('httpsckranetaudiusplaylists', 'follow')",2
"('follow', 'chakra')",2
"('records', 'instagram')",2
"('instagram', 'httpsckranetinstagram')",2
"('httpsckranetinstagram', 'youtube')",2
"('youtube', 'httpsckranetyoutube')",2
"('httpsckranetyoutube', 'facebook')",2
"('facebook', 'httpsckranetfacebook')",2
"('httpsckranetfacebook', 'twitter')",2
"('twitter', 'httpsckranettwitter')",2
"('httpsckranettwitter', 'tiktok')",2
"('tiktok', 'httpsckranettiktok')",2
"('httpsckranettiktok', 'follow')",2
"('follow', 'our')",2
"('our', 'audius')",2
"('playlists', 'arabic')",2
"('arabic', 'deep')",2
"('deep', 'house')",2
"('house', 'httpsckranetaudeephouse')",2
"('httpsckranetaudeephouse', 'arabic')",2
"('arabic', 'techno')",2
"('techno', 'house')",2
"('house', 'httpsckranetautechno')",2
"('httpsckranetautechno', 'arabic')",2
"('arabic', 'chill')",2
"('chill', 'out')",2
"('out', 'lounge')",2
"('lounge', 'httpsckranetauchillout')",2
"('httpsckranetauchillout', 'afro')",2
"('house', 'httpsckranetauafrohouse')",2
"('httpsckranetauafrohouse', 'all')",2
"('all', 'info')",2
"('info', 'about')",2
"('about', 'chakra')",2
"('records', 'website')",2
"('website', 'httpswwwchakrarecordscom')",2
"('httpswwwchakrarecordscom', 'chakra')",2
"('records', 'httpsckranetlinktree')",2
"('httpsckranetlinktree', 'infocontact')",2
"('infocontact', 'demo')",2
"('demo', 'demochakrarecordscom')",2
"('demochakrarecordscom', 'mgmt')",2
"('mgmt', 'mgmtchakrarecordscom')",2
"('mgmtchakrarecordscom', 'general')",2
"('general', 'inquiries')",2
"('inquiries', 'infochakrarecordscom')",2
"('such', 'a')",2
"('first', 'release')",2
"('release', 'of')",2
"('instrumental', 'beat')",2
"('with', 'me')",2
"('follow', 'us')",2
"('as', 'a')",2
"('art', 'by')",2
"('felipe', 'de')",2
"('de', 'vicente')",2
"('hope', 'you')",2
"('wwwsoundcloudcomaspirehighermusic', 'wwwlinktreeaspirehigher')",2
"('psalm', 'trees')",2
"('for', 'the')",2
"('and', 'i')",2
"('ep', 'bronzewhalecomcouchmammalsremix')",2
"('bronzewhalecomcouchmammalsremix', 'follow')",2
"('whale', 'bronzewhalecomlinks')",2
"('bronzewhalecomlinks', 'follow')",2
"('sofasound', 'linktreesofasound')",2
"('linktreesofasound', 'follow')",2
"('up', 'to')",2
"('just', 'fading')",2
"('fading', 'i')",2
"('i', 'wish')",2
"('could', 'be')",2
"('be', 'displaying')",2
"('displaying', 'the')",2
"('best', 'you')",2
"('think', 'of')",2
"('me', 'you')",2
"('you', 'are')",2
"('are', 'the')",2
"('best', 'of')",2
"('i', 'cant')",2
"('cant', 'feel')",2
"('feel', 'love')",2
"('forgive', 'me')",2
"('thanks', 'for')",2
"('for', 'all')",2
"('all', 'the')",2
"('make', 'believe')",2
"('future', 'life')",2
"('wont', 'love')",2
"('love', 'again')",2
"('official', 'video')",2
"('follow', 'cryjaxx')",2
"('cryjaxx', 'httpscryjaxxcom')",2
"('httpscryjaxxcom', 'httpsinstagramcomcryjaxx')",2
"('httpsinstagramcomcryjaxx', 'httpsyoutubecomcryjaxx')",2
"('httpsyoutubecomcryjaxx', 'httpssptfycomti')",2
"('httpssptfycomti', 'httpsfacebookcomcryjaxx')",2
"('httpsfacebookcomcryjaxx', 'httpstwittercomcryjaxx')",2
"('httpstwittercomcryjaxx', 'httpsitunesusdz')",2
"('extended', 'mix')",2
"('by', 'akira')",2
"('vocals', 'by')",2
"('alan', 'watts')",2
"('the', 'message')",1
"('message', 'earn')",1
"('records', 'httpswwwcooprecordsxyzdisco')",1
"('httpswwwcooprecordsxyzdisco', 'lines')",1
"('lines', 'demotapesrweok')",1
"('demotapesrweok', 'saint')",1
"('saint', 'paul')",1
"('paul', 'super')",1
"('super', 'powers')",1
"('powers', 'chapter')",1
"('chapter', 'the')",1
"('the', 'woods')",1
"('woods', 'virtually')",1
"('virtually', 'made')",1
"('made', 'music')",1
"('music', 'dropping')",1
"('dropping', 'next')",1
"('month', 'with')",1
"('with', 'httpsaudiuscoshantimood')",1
"('httpsaudiuscoshantimood', 'pre')",1
"('save', 'my')",1
"('my', 'new')",1
"('new', 'album')",1
"('album', 'below')",1
"('below', 'httpslnkdmsmusiccosnoozegodoptions')",1
"('httpslnkdmsmusiccosnoozegodoptions', 'follow')",1
"('me', 'spotifiprgu')",1
"('spotifiprgu', 'soundcloudcomaedhusmusic')",1
"('soundcloudcomaedhusmusic', 'instagramcomaedhus')",1
"('instagramcomaedhus', 'produced')",1
"('produced', 'by')",1
"('aedhus', 'mixed')",1
"('mixed', 'by')",1
"('aedhus', 'cover')",1
"('cover', 'artvisuals')",1
"('artvisuals', 'by')",1
"('aedhus', 'mastered')",1
"('by', 'smokes')",1
"('smokes', 'wwwinstagramcomsmokesexe')",1
"('wwwinstagramcomsmokesexe', 'had')",1
"('to', 'drop')",1
"('drop', 'this')",1
"('one', 'this')",1
"('a', 'bootleg')",1
"('bootleg', 'ive')",1
"('ive', 'always')",1
"('always', 'loved')",1
"('loved', 'the')",1
"('so', 'i')",1
"('i', 'had')",1
"('remix', 'it')",1
"('it', 'when')",1
"('when', 'i')",1
"('i', 'saw')",1
"('saw', 'stems')",1
"('stems', 'dropping')",1
"('dropping', 'for')",1
"('for', 'avoidable')",1
"('avoidable', 'cause')",1
"('cause', 'even')",1
"('even', 'if')",1
"('if', 'im')",1
"('im', 'way')",1
"('way', 'past')",1
"('past', 'the')",1
"('the', 'remix')",1
"('remix', 'competition')",1
"('competition', 'deadline')",1
"('deadline', 'check')",1
"('out', 'maraudamusic')",1
"('maraudamusic', 'check')",1
"('out', 'the')",1
"('the', 'og')",1
"('og', 'httpssoundcloudcommaraudamusicavoidable')",1
"('httpssoundcloudcommaraudamusicavoidable', 'listen')",1
"('to', 'sam')",1
"('sam', 'day')",1
"('day', 'amazing')",1
"('amazing', 'the')",1
"('the', 'club')",1
"('club', 'edit')",1
"('edit', 'bitbirdffmtoamzgclubszb')",1
"('bitbirdffmtoamzgclubszb', 'listen')",1
"('bitbirdffmtoreleasesszb', 'stems')",1
"('stems', 'httpsdrivegooglecomdrivefoldersykmpptpgkypqglarxepwriusrls')",1
"('httpsdrivegooglecomdrivefoldersykmpptpgkypqglarxepwriusrls', 'bandcamp')",1
"('bandcamp', 'httpsjoreibandcampcomalbumomnia')",1
"('httpsjoreibandcampcomalbumomnia', 'fate')",1
"('fate', 'sadie')",1
"('sadie', 'fines')",1
"('fines', 'whoreble')",1
"('whoreble', 'is')",1
"('an', 'unapologetic')",1
"('unapologetic', 'anthem')",1
"('anthem', 'fueled')",1
"('fueled', 'takedown')",1
"('takedown', 'igniting')",1
"('igniting', 'a')",1
"('a', 'cultural')",1
"('cultural', 'moment')",1
"('moment', 'for')",1
"('for', 'truth')",1
"('truth', 'telling')",1
"('telling', 'empowerment')",1
"('empowerment', 'and')",1
"('and', 'collective')",1
"('collective', 'catharsis')",1
"('catharsis', 'this')",1
"('an', 'attempt')",1
"('attempt', 'to')",1
"('to', 'explore')",1
"('explore', 'the')",1
"('the', 'spaces')",1
"('spaces', 'between')",1
"('between', 'light')",1
"('light', 'and')",1
"('and', 'shadowan')",1
"('shadowan', 'inward')",1
"('inward', 'dive')",1
"('dive', 'into')",1
"('into', 'the')",1
"('the', 'liminal')",1
"('liminal', 'moments')",1
"('moments', 'when')",1
"('when', 'identity')",1
"('identity', 'feels')",1
"('feels', 'fluid')",1
"('fluid', 'and')",1
"('and', 'undefined')",1
"('undefined', 'silhouettes')",1
"('silhouettes', 'drift')",1
"('drift', 'as')",1
"('as', 'echoes')",1
"('echoes', 'of')",1
"('of', 'forgotten')",1
"('forgotten', 'intentions')",1
"('intentions', 'their')",1
"('their', 'strings')",1
"('strings', 'vibrating')",1
"('vibrating', 'with')",1
"('the', 'tension')",1
"('tension', 'of')",1
"('of', 'unseen')",1
"('unseen', 'forces')",1
"('forces', 'its')",1
"('its', 'less')",1
"('less', 'about')",1
"('about', 'clarity')",1
"('clarity', 'and')",1
"('and', 'more')",1
"('more', 'about')",1
"('about', 'becoming')",1
"('becoming', 'comfortable')",1
"('comfortable', 'with')",1
"('the', 'space')",1
"('space', 'in')",1
"('in', 'betweenwhere')",1
"('betweenwhere', 'unspoken')",1
"('unspoken', 'words')",1
"('words', 'and')",1
"('and', 'untethered')",1
"('untethered', 'thoughts')",1
"('thoughts', 'create')",1
"('a', 'quiet')",1
"('quiet', 'harmony')",1
"('harmony', 'weaving')",1
"('weaving', 'something')",1
"('something', 'that')",1
"('that', 'cannot')",1
"('cannot', 'be')",1
"('be', 'fully')",1
"('fully', 'grasped')",1
"('grasped', 'only')",1
"('only', 'felt')",1
"('felt', 'earn')",1
"('records', 'httpswwwcooprecordsxyzmembainsane')",1
"('httpswwwcooprecordsxyzmembainsane', 'ft')",1
"('ft', 'biicla')",1
"('biicla', 'first')",1
"('first', 'tune')",1
"('tune', 'of')",1
"('year', 'hypedditcomjohnnysmallreflections')",1
"('hypedditcomjohnnysmallreflections', 'stream')",1
"('stream', 'httpstrapicalrlseeplaystation')",1
"('httpstrapicalrlseeplaystation', 'follow')",1
"('follow', 'beyounger')",1
"('beyounger', 'httpssoundcloudcombeyoungermusic')",1
"('httpssoundcloudcombeyoungermusic', 'httpswwwinstagramcombeyoungermusic')",1
"('httpswwwinstagramcombeyoungermusic', 'httpsopenspotifycomartistqzevavdwvswdqby')",1
"('httpsopenspotifycomartistqzevavdwvswdqby', 'follow')",1
"('follow', 'dj')",1
"('dj', 'ed')",1
"('ed', 'httpsopenspotifycomartisthudubfslqyokskejw')",1
"('httpsopenspotifycomartisthudubfslqyokskejw', 'follow')",1
"('follow', 'trapical')",1
"('trapical', 'music')",1
"('music', 'httpssoundcloudcomtrapicalmusic')",1
"('httpssoundcloudcomtrapicalmusic', 'httpstwittercomtrapicalmusic')",1
"('httpstwittercomtrapicalmusic', 'httpswwwfacebookcomtrapicalmusic')",1
"('httpswwwfacebookcomtrapicalmusic', 'httpswwwinstagramcomtrapicalmusic')",1
"('httpswwwinstagramcomtrapicalmusic', 'httpsopenspotifycomuserctilflvrrbanrldo')",1
"('httpsopenspotifycomuserctilflvrrbanrldo', 'join')",1
"('our', 'family')",1
"('family', 'on')",1
"('on', 'discord')",1
"('discord', 'httpsdiscordggvsegxx')",1
"('httpsdiscordggvsegxx', 'contact')",1
"('contact', 'mesubmit')",1
"('mesubmit', 'your')",1
"('your', 'track')",1
"('track', 'martintrapicalnet')",1
"('martintrapicalnet', 'httpshypedditcomslick')",1
"('httpshypedditcomslick', 'noobodymakemefeel')",1
"('noobodymakemefeel', 'httpsandrometagg')",1
"('httpsandrometagg', 'pitch')",1
"('the', 'past')",1
"('past', 'like')",1
"('like', 'acid')",1
"('acid', 'captive')",1
"('captive', 'placid')",1
"('placid', 'pitch')",1
"('the', 'heavy')",1
"('heavy', 'with')",1
"('with', 'an')",1
"('an', 'empty')",1
"('empty', 'heart')",1
"('heart', 'stuck')",1
"('stuck', 'with')",1
"('with', 'full')",1
"('full', 'pockets')",1
"('pockets', 'pour')",1
"('pour', 'it')",1
"('all', 'out')",1
"('out', 'on')",1
"('a', 'table')",1
"('table', 'or')",1
"('or', 'a')",1
"('a', 'mosh')",1
"('mosh', 'pit')",1
"('pit', 'i')",1
"('i', 'missed')",1
"('missed', 'this')",1
"('this', 'the')",1
"('the', 'distance')",1
"('distance', 'its')",1
"('its', 'vicious')",1
"('vicious', 'i')",1
"('i', 'witnessed')",1
"('witnessed', 'one')",1
"('one', 'too')",1
"('too', 'many')",1
"('many', 'friends')",1
"('friends', 'fall')",1
"('fall', 'apart')",1
"('apart', 'i')",1
"('i', 'made')",1
"('made', 'a')",1
"('a', 'wishlist')",1
"('wishlist', 'i')",1
"('i', 'dont')",1
"('dont', 'wanna')",1
"('wanna', 'say')",1
"('say', 'goodbye')",1
"('goodbye', 'losing')",1
"('losing', 'all')",1
"('all', 'my')",1
"('my', 'patience')",1
"('patience', 'so')",1
"('so', 'desperate')",1
"('desperate', 'for')",1
"('for', 'attention')",1
"('attention', 'still')",1
"('still', 'choking')",1
"('choking', 'on')",1
"('the', 'mention')",1
"('mention', 'every')",1
"('every', 'single')",1
"('single', 'argument')",1
"('argument', 'is')",1
