Bigram,Frequência
"('edmelectronicdancemusic', 'dubstepbassmusicmeganthestallionmamushiflipdubhiphopundergroundleftfieldrap')",1
"('dubstepbassmusicmeganthestallionmamushiflipdubhiphopundergroundleftfieldrap', 'darklofiglitchbeatslofihifiglitchokcoklahomaoklahomacity')",1
"('darklofiglitchbeatslofihifiglitchokcoklahomaoklahomacity', 'healthnewmusiccryptomusictradingmusicindieblockchainmusic')",1
"('healthnewmusiccryptomusictradingmusicindieblockchainmusic', 'badbunnydtmfzazaremixtechhousedanceelectronic')",1
"('badbunnydtmfzazaremixtechhousedanceelectronic', 'squidgameminglegamehypertechnotechnoedmelectonicdancemusic')",1
"('squidgameminglegamehypertechnotechnoedmelectonicdancemusic', 'vaportwitch')",1
"('vaportwitch', 'msftdabowbreakitremixtrapbassedmdubstepaudius')",1
"('msftdabowbreakitremixtrapbassedmdubstepaudius', 'emopunkangelbaby')",1
"('emopunkangelbaby', 'naskomaraudaavoidablecauseremixdubstepheavyriddim')",1
"('naskomaraudaavoidablecauseremixdubstepheavyriddim', 'popaltrockbreakup')",1
"('popaltrockbreakup', 'phonkhiphopandrometacryptogaming')",1
"('phonkhiphopandrometacryptogaming', 'weirdmusicimade')",1
"('weirdmusicimade', 'swumoneheartvertigorequiemchillhopcr')",1
"('swumoneheartvertigorequiemchillhopcr', 'shipwrektameimpala')",1
"('shipwrektameimpala', 'basstrapjerseyclubbounceexperimentalbreaksamen')",1
"('basstrapjerseyclubbounceexperimentalbreaksamen', 'downtempobreakschillchilloutedmdanceelectronicsoftjawremixbronzewhale')",1
"('downtempobreakschillchilloutedmdanceelectronicsoftjawremixbronzewhale', 'firelatindancepop')",1
"('firelatindancepop', 'idingorjisebastianhaldesertarabicmiddleeastorganicdeephousetechnotrendingoriental')",1
"('idingorjisebastianhaldesertarabicmiddleeastorganicdeephousetechnotrendingoriental', 'dubstepsomuchinlove')",1
"('dubstepsomuchinlove', 'bassmusicdubheavycinematicetherealhybrid')",1
"('bassmusicdubheavycinematicetherealhybrid', 'dawgztrapguyane')",1
"('dawgztrapguyane', 'basshousefeelingsclubfestivalmelodicorchestral')",1
"('basshousefeelingsclubfestivalmelodicorchestral', 'gurfkeepsearchingfuturebeatstrapwonderchilltrapbouncefutureexplorebouncy')",1
"('gurfkeepsearchingfuturebeatstrapwonderchilltrapbouncefutureexplorebouncy', 'boombapinstrumentalbeatsjoeybadassoldskoolbeatmpcdoom')",1
