Bigram,Frequência
"('bronze', 'whale')",3
"('whale', 'x')",3
"('x', 'sofasound')",3
"('sammy', 'lesen')",1
"('lesen', 'mal')",1
"('mal', 'its')",1
"('its', 'a')",1
"('a', 'miracle')",1
"('miracle', 'megan')",1
"('megan', 'thee')",1
"('thee', 'stallion')",1
"('stallion', 'mamushi')",1
"('mamushi', 'gnawbox')",1
"('gnawbox', 'x')",1
"('x', 'divinian')",1
"('divinian', 'flip')",1
"('flip', 'subtleties')",1
"('subtleties', 'crypto')",1
"('crypto', 'health')",1
"('health', 'disco')",1
"('disco', 'lines')",1
"('lines', 'rweok')",1
"('rweok', 'with')",1
"('with', 'demotapes')",1
"('demotapes', 'super')",1
"('super', 'powers')",1
"('powers', 'u')",1
"('u', 'pt')",1
"('pt', 'with')",1
"('with', 'shanti')",1
"('shanti', 'bad')",1
"('bad', 'bunny')",1
"('bunny', 'dtmf')",1
"('dtmf', 'zaza')",1
"('zaza', 'remix')",1
"('remix', 'felmax')",1
"('felmax', 'afterthought')",1
"('afterthought', 'divergent')",1
"('divergent', 'fist')",1
"('fist', 'round')",1
"('round', 'and')",1
"('and', 'round')",1
"('round', 'ssifo')",1
"('ssifo', 'msft')",1
"('msft', 'break')",1
"('break', 'it')",1
"('it', 'dabow')",1
"('dabow', 'remix')",1
"('remix', 'angelbaby')",1
"('angelbaby', 'black')",1
"('black', 'hole')",1
"('hole', 'feat')",1
"('feat', 'tk')",1
"('tk', 'marauda')",1
"('marauda', 'avoidable')",1
"('avoidable', 'cause')",1
"('cause', 'nasko')",1
"('nasko', 'remix')",1
"('remix', 'sam')",1
"('sam', 'day')",1
"('day', 'amazing')",1
"('amazing', 'the')",1
"('the', 'club')",1
"('club', 'edit')",1
"('edit', 'judgement')",1
"('judgement', 'sadie')",1
"('sadie', 'fine')",1
"('fine', 'whoreble')",1
"('whoreble', 'silhouette')",1
"('silhouette', 'swings')",1
"('swings', 'sober')",1
"('sober', 'memba')",1
"('memba', 'insane')",1
"('insane', 'ft')",1
"('ft', 'biicla')",1
"('biicla', 'back')",1
"('back', 'on')",1
"('on', 'tour')",1
"('tour', 'johnnysmall')",1
"('johnnysmall', 'reflections')",1
"('reflections', 'swimming')",1
"('swimming', 'paul')",1
"('paul', 'alecc')",1
"('alecc', 'crisostomo')",1
"('crisostomo', 'still')",1
"('still', 'fading')",1
"('fading', 'beyounger')",1
"('beyounger', 'dj')",1
"('dj', 'ed')",1
"('ed', 'montagem')",1
"('montagem', 'playstation')",1
"('playstation', 'nuits')",1
"('nuits', 'roma')",1
"('roma', 'slick')",1
"('slick', 'noobody')",1
