Node,Type,Degree,Degree Centrality,Eigenvector Centrality
ePBb7,follower,60,0.06872852233676977,0.13637952576158838
DOW8X,artist,50,0.057273768613974804,0.11622388877706304
aN4pa,artist,50,0.057273768613974804,0.10193016232228691
nZ5Ee,artist,50,0.057273768613974804,0.10922488894826836
XBpbJ,artist,50,0.057273768613974804,0.11401326822022556
nZqdE,artist,50,0.057273768613974804,0.10910449069263731
D84mJ,artist,50,0.057273768613974804,0.1171242690547331
4W2ay,artist,50,0.057273768613974804,0.10373657468189008
LR9zj,artist,18,0.020618556701030927,0.013954724991636433
MaVZo,artist,50,0.057273768613974804,0.11930048174199917
LwoJ1,artist,50,0.057273768613974804,0.09925057965347792
9RRV2,artist,50,0.057273768613974804,0.10051115945342744
46aydj,artist,6,0.006872852233676976,0.004391069510863022
P5kARM5,artist,9,0.010309278350515464,0.007030134012963884
6aBoG,artist,50,0.057273768613974804,0.045875545375134046
J5716,artist,50,0.057273768613974804,0.05129602146673324
nVVky,artist,50,0.057273768613974804,0.05786438570415269
3kX8Kq,artist,11,0.012600229095074456,0.007087821363227917
ngXdW,artist,50,0.057273768613974804,0.06385709726608728
emO2Q,artist,50,0.057273768613974804,0.11649329875829245
myAkQ,artist,50,0.057273768613974804,0.053256760563515124
eAE0q,follower,50,0.057273768613974804,0.0719857627706943
n1PYe,artist,50,0.057273768613974804,0.11741449964988486
ebpjK,artist,50,0.057273768613974804,0.10882400007857289
D8v5P,follower,53,0.06071019473081329,0.114195228644984
ePxqm,artist,50,0.057273768613974804,0.09734342978527571
Vgykdmy,follower,53,0.06071019473081329,0.029522774662626556
KEWjl,artist,50,0.057273768613974804,0.0638136068983222
9Bdk0,artist,22,0.025200458190148912,0.012805646832937223
lebQD,follower,51,0.058419243986254296,0.09543390400191296
ZZ1d9Gg,artist,5,0.00572737686139748,0.004269335509867245
0EoAm,follower,54,0.061855670103092786,0.08046831150628411
D97oa,artist,50,0.057273768613974804,0.11381307812109713
qm4Ya,follower,51,0.058419243986254296,0.05793155963414384
LMmxL,artist,29,0.033218785796105384,0.03702200770433593
Q4Gm3,artist,50,0.057273768613974804,0.09658777760580758
D2Ko2,artist,50,0.057273768613974804,0.10934158870014833
64EP443,artist,10,0.01145475372279496,0.007009990180437722
51dNY,artist,34,0.038946162657502864,0.028801425809947215
D88rJ,artist,50,0.057273768613974804,0.11569426605928357
BJoK9,artist,50,0.057273768613974804,0.09958964433396064
WgXP4zZ,artist,50,0.057273768613974804,0.033955839396979805
